product_name,price,title,reviewer,date,description
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Superdry - Fuji Pufferjas Donkergroen - Maat M - Slim-fit,"83
  88",Goede pasvorm,PeterWeetBeter,7 december 2021,Mooi design en zit lekker om het lichaam.
Superdry - Fuji Pufferjas Donkergroen - Maat M - Slim-fit,"83
  88",Zeer goed,Raymond53,28 december 2021,"Ik ben positief over dit artikel: mooie pasvorm, materiaal van goede kwaliteit, maat valt zoals verwacht."
Superdry - Fuji Pufferjas Donkergroen - Maat M - Slim-fit,"83
  88",Top artikel,Massetbe,7 november 2022,Heel mooie en goede jas
Superdry - Fuji Pufferjas Donkergroen - Maat M - Slim-fit,"83
  88",Warme niet al te dikke jas,Gerrit3838,4 januari 2022,Hele fijne stoere warme jas
Superdry - Fuji Pufferjas Donkergroen - Maat M - Slim-fit,"83
  88",Top jas - warm,SdV52,25 december 2022,Spotgoedkoop en lekkere warme jas
Superdry - Fuji Pufferjas Donkergroen - Maat M - Slim-fit,"83
  88",Een heerlijke winterjas voor een prima prijs!,Johanvanderkooij,3 december 2022,"Deze jas gekocht bij Bolcom, werd supersnel geleverd. Prijs-kwaliteit verhouding is prima!"
JACK&JONES JJEMULTI QUILTED JACKET Heren Jas - Maat L,"33
  64",Heerlijk jasje,TAppeldoorn,2 april 2023,"Snelle levering,  keurig verpakt, past perfect.  Fijn dat de mouwen van zacht stof zijn en niet van dat plakkerig synthetisch materiaal."
JACK&JONES JJEMULTI QUILTED JACKET Heren Jas - Maat L,"33
  64",Matige kwaliteit,draayer,17 februari 2023,"Matige kwaliteit, stiksels laten snel los."
JACK&JONES JJEMULTI QUILTED JACKET Heren Jas - Maat L,"33
  64",Snelle bezorging,MitchelS12,18 januari 2023,Snelle bezorging vanuit de webwinkel. Vanmorgen alleen een storing bij DHL en even later kreeg ik pas melding dat ze onderweg zijn op de tijd dat ze zouden komen maar dat lag aan DHL zelf.Top service
JACK&JONES JJEMULTI QUILTED JACKET Heren Jas - Maat L,"33
  64",Uitstekende kwaliteit,Skblz,15 januari 2023,Dit vestje is niet enkel mooi maar ook heel goed om te dragen. Warm is het niet echt maar het is ideaal om te dragen als het iets frisser wordt. Ik heb er dan maar per direct drie gekocht. Een aanrader.
JACK&JONES JJEMULTI QUILTED JACKET Heren Jas - Maat L,"33
  64",Fijne jas,Robgb,27 april 2022,Fijne jas. Zit lekker
JACK&JONES JJEMULTI QUILTED JACKET Heren Jas - Maat L,"33
  64",Aan te bevelen,Magret74,13 april 2022,Fijne jas. Comfortabel en mooi afgewerkt voor een goede prijsMaat is prima
JACK&JONES JJERUSH HOOD BOMBER NOOS Heren Bomberjack - Maat XL,"38
  92",niet waterdicht,stirF,26 juni 2022,waardeloze jas. Bij de rits zo lek als een mandje.
JACK&JONES JJERUSH HOOD BOMBER NOOS Heren Bomberjack - Maat XL,"38
  92",Mooie jas valt net te klein,Fetkilic,17 maart 2022,Mooie jas. Valt helaas wel net te klein of eigenlijk te strak. Ben bang dat een maatje groter dan weer te groot is.
Fostex MA-1 bomber jack / jas Grijs - Maat XXL,"49
  50",Kwaliteit,Hoep72,16 november 2021,Goede kwaliteit en mooie prijs
Regenjas ZWART (Maat XL) unisex - Licht gewicht - Waterdicht - Opvouwbaar,"12
  95",Regenjas,202267,13 maart 2021,Lichte regenjas
Regenjas ZWART (Maat XL) unisex - Licht gewicht - Waterdicht - Opvouwbaar,"12
  95",Erg handig product,ConnieCC,6 februari 2021,"Is super handig om zo'n regenjas in je tas te hebben voor als het opeens begint te regenen! Zeer goede prijs/kwaliteit verhouding. Ik ben er blij mee, een prima product!"
Regenjas ZWART (Maat XL) unisex - Licht gewicht - Waterdicht - Opvouwbaar,"12
  95",Slechte kwaliteit,Marquirita,3 februari 2021,"Voor de gevraagde prijs verwacht je een jas van dik plastic, die meerdere keren meegaat.Deze jas is echter zeer dun en kwetsbaar en duidelijk gemaakt voor eenmalig gebruik."
Regenjas ZWART (Maat XL) unisex - Licht gewicht - Waterdicht - Opvouwbaar,"12
  95",Te duur,Mmmmanon,13 december 2021,Het is meer een wegwerp regenjas.
Regenjas ZWART (Maat XL) unisex - Licht gewicht - Waterdicht - Opvouwbaar,"12
  95",Regenjas,Afrih,4 december 2021,"Dit is geen regenjas,dit is een plasticjas Erg teleurgesteld"
Regenjas ZWART (Maat XL) unisex - Licht gewicht - Waterdicht - Opvouwbaar,"12
  95",Poncho,Pieterpomp,1 december 2021,"Dit is geen regenjas, dit is een poncho"
Regenjas - Waterdicht - Poncho - Unisex - One Size - Knoopsluiting - Lichtgewicht,"14
  50",prima jas,Beer7,18 september 2022,"Prima jas; had alleen iets langer moeten zijn, is 120 cm lang maar dat is inclusief de capuchon en daar heb ik me op verkeken want ik had gerekend vanaf de schouder. Kan wel goed in combinatie met een regenbroek anders krijg je natte knieen. Verder is de jas prima; heb hem al een aantal keren gedragen in de stromende regen en je hoofd en bovenlichaam blijven lekker droog."
Regenjas - Waterdicht - Poncho - Unisex - One Size - Knoopsluiting - Lichtgewicht,"14
  50",Goede regenjas,Buggykar,13 januari 2022,Precies de jas die ik al een tijdje zocht!Past over mijn jas en is dus makkelijk aan en uit te doen.
Regenjas - Waterdicht - Poncho - Unisex - One Size - Knoopsluiting - Lichtgewicht,"14
  50",Zit perfect,MPrins64,3 februari 2022,"Lekker ruim, dus past over mijn eigen jas. Heb er nog geen gebruik van gemaakt, maar zal vast niet lang duren voor hij aan kan!"
Regenjas - Waterdicht - Poncho - Unisex - One Size - Knoopsluiting - Lichtgewicht,"14
  50",goed product,Jasmin123,5 september 2022,"makkelijk over jas te dragen, kwaliteit goed.snelle levering en een goede prijs."
Regenjas - Waterdicht - Poncho - Unisex - One Size - Knoopsluiting - Lichtgewicht,"14
  50",Prima jas,MZ25,1 september 2022,"Prima jas, goede prijs kwaliteit verhouding. Past vrijwel iedereen."
Regenjas - Waterdicht - Poncho - Unisex - One Size - Knoopsluiting - Lichtgewicht,"14
  50",Prima regenjas..,Doornvogels,28 januari 2022,Goed en snel
Travelin' Jack Holger Heren Softshell Jas - Zwart - Maat XL,"129
  95",Prachtig jas,MarleenJozef,26 januari 2023,"Dit is een jas die aan alle verwachtingen voldoet. Mooi, juiste pasvorm en prijs-kwaliteit picobello."
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat M,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat M,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Mac in a Sac Mias Origin Jas - Unisex - Army groen - Zwart,"49
  95",Geslaagd,Marti38,8 september 2021,Kopen
Mac in a Sac Mias Origin Jas - Unisex - Army groen - Zwart,"49
  95",Veilig en droog,Gil753,7 september 2021,"Echt een topper. Waterdicht, zit gemakkelijk, niets dan voordelen."
Mac in a Sac Mias Origin Jas - Unisex - Army groen - Zwart,"49
  95",Best jasje,Dokus58,24 augustus 2021,"Heerlijk licht en compact om mee te nemen, geen last van zweten; ademt goed."
Mac in a Sac Mias Origin Jas - Unisex - Army groen - Zwart,"49
  95",Top!,KarinvBL,23 oktober 2020,"Makkelijk mee te nemen, goed zichtbaar"
Mac in a Sac Mias Origin Jas - Unisex - Army groen - Zwart,"49
  95",Je valt wel op,Blanco9,22 september 2020,Felle opvallende kleur
Mac in a Sac Mias Origin Jas - Unisex - Army groen - Zwart,"49
  95",Koop deze kanjer!,goudkuat2008,3 november 2021,Super opvallende jas bij regenachtig en mistig weer.Zit goed en is waterdicht.Ook tijdens een hoosbui
PME Legend Airpack Zwart (PJA201107-999) - Maat XL,"89
  99",Mooie jas van Pme,Dick1233t,27 juli 2022,Mooie jas goeie kwaliteit
JACK&JONES JJERUSH HOOD BOMBER NOOS Heren Bomberjack - Maat XL,"38
  77",niet waterdicht,stirF,26 juni 2022,waardeloze jas. Bij de rits zo lek als een mandje.
JACK&JONES JJERUSH HOOD BOMBER NOOS Heren Bomberjack - Maat XL,"38
  77",Mooie jas valt net te klein,Fetkilic,17 maart 2022,Mooie jas. Valt helaas wel net te klein of eigenlijk te strak. Ben bang dat een maatje groter dan weer te groot is.
Travelin' Jack Peder - Heren Jacket - Outdoor jas mannen - Zwart - Maat XL,"59
  95",Maat klopt niet,provi,5 april 2023,"Ik heb xxl besteld ,dat is mijn maat ,maar deze maat klopt niet is kleiner als ze opgeven ,ruim kleiner mouwen waren 10 cm korter"
Travelin' Jack Peder - Heren Jacket - Outdoor jas mannen - Zwart - Maat XL,"59
  95",Isn't that nice,Klontian,3 april 2023,"It is not convenient, and it is not 100% waterproof"
Fostex Garments - MA-1 summer bomber jack (kleur: Zwart / maat: XXXL),"47
  80",Hele goede tussendoor bomberjack,1973,11 juni 2022,Heel leuk zwart bomberjack. Echt lekker licht en dun voor de zomer als het weer niet mee zit en het wat frisser is. Of voor nu op de fiets.Er zitten twee binnen zakken in met drukknoop. Buitenkant heeft ook twee steekzakken met drukknoop en de linkermouw heeft een rits met sleutelhanger. De sleutelhanger kun je er afhalen.  Ik had voor de maat XL gekozen. En die zit bij mij prima. Had geen maat kleiner of groter gemoeten.  Zelf ben ik 1.87 lang en normaal postuur.  Ruglengte bij mij prima. Ook de mouwen zijn bij mij lang genoeg. En de jas kan bij mij gewoon dicht.  In een bomberjack heb ik altijd maat XL als de maat normaal valt. Valt ie wijder dan heb ik meer dan genoeg aan een maat L.Maar deze in maat XL zit bij mij niet te klein en niet te groot.  Eigenlijk zit deze jas zoals hij hoort te zitten.  Super blij mee. Ik was echt naar zo'n jas als deze opzoek en met name voor de zomer. Of voor nu. Hij is echt een licht gewichtje. Mooi afgewerkt.
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Travelin' Jack Peder - Heren Jacket - Outdoor jas mannen - Navy blauw - Maat XXL,"59
  95",Maat klopt niet,provi,5 april 2023,"Ik heb xxl besteld ,dat is mijn maat ,maar deze maat klopt niet is kleiner als ze opgeven ,ruim kleiner mouwen waren 10 cm korter"
Travelin' Jack Peder - Heren Jacket - Outdoor jas mannen - Navy blauw - Maat XXL,"59
  95",Isn't that nice,Klontian,3 april 2023,"It is not convenient, and it is not 100% waterproof"
The North Face Resolve Heren Outdoorjas - Maat L,"118
  30",Fijne jas,Piere4567,8 maart 2023,Fijne jas die waterdicht is en warm.
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Dik oke,Xaf2012,15 oktober 2021,Uitvinding van de eeuw Lekker warm en snelle levering
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Maakt belofte waar,Techwillem,12 januari 2022,"Heel tevreden, cadeau voor mijn vrouw vrij laat besteld en toch mooi op tijd geleverd. Goed verpakt werkt perfect en oogt mooi en degelijk."
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Heerlijke jas!!,henkie1953,11 december 2021,perfecte  elektrische jas!!Verdient zichzelf in zeer korte tijd terug doordat de verwarming praktisch uit kan.Jammer dat zoiets nog niet te krijgen is op 230 volt .(net als bij een elektrische deken).Hopelijk komt dat nog ooit!Bij de huidige energieprijzen een uitstekend middel om energie te besparen zonder het koud te hebben.Ideaal kledingstuk voor vrijgezelle kou kleumers!Koop hem niet te klein want ze zijn gemaakt voor chinese ( kleine)mensen.Als jouw maat medium is koop hem dan in maat large anders is hij te klein!
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Warm,Gamer15157,15 november 2022,Handige warme jas en mooi
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Goede aankoop,Kristof19,18 december 2021,"Zeer tevreden, werkt perfect!"
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Aanrader,Varie74,12 december 2021,"Mijn zoontje heeft er heel veel plezier van, vooral ideaal met vissen in deze tijd."
